"id","offer_id","seo_term","region_id","filter_attribute","created_at"
5461,G1711468961316JC,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41249,2025-07-30 17:29:43.243
5465,G1751552528157WY,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41145,2025-07-30 17:29:43.452
5467,G1751552528635EU,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:29:43.634
5469,G1751552529136OB,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41207,2025-07-30 17:29:43.820
5472,G1751553038234XF,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41249,2025-07-30 17:29:44.125
5479,G1711468939674BN,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:29:44.922
5481,G1705711225903LG,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41249,2025-07-30 17:29:45.174
5485,G1751552523896EU,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41146,2025-07-30 17:29:45.335
5488,G1751552524993UB,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:29:45.763
5496,G1705711203783RK,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41161,2025-07-30 17:29:46.175
5498,G1711468949469JE,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41207,2025-07-30 17:29:46.755
5501,G1705714246293HW,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41149,2025-07-30 17:29:46.900
5504,G1751552513506DG,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:29:47.072
5509,G1751631845711HC,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41161,2025-07-30 17:29:47.445
5513,G1751552514064BT,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41249,2025-07-30 17:29:47.595
5515,G1751631846217ZD,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:29:47.908
5516,G1751631835131GN,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41261,2025-07-30 17:29:48.099
5521,G1711468962212YO,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41222,2025-07-30 17:29:48.503
5526,G1705711430548WZ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41145,2025-07-30 17:29:48.662
5530,G1711468956744KL,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41161,2025-07-30 17:29:48.858
5538,G1711468925575AQ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41261,2025-07-30 17:29:49.621
5541,G1711468957250OS,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41145,2025-07-30 17:29:49.740
3675,G1709733191543VK,wow-classic-era-item,ac3f85c1-7562-437e-b125-e89576b9a38e,lgc_27816_dropdown_18:lgc_27816_dropdown_18_54768,2025-07-25 16:54:43.705
5332,G1711468948612JQ,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41146,2025-07-30 17:29:33.590
5335,G1711468949600VP,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41161,2025-07-30 17:29:33.824
5341,G1751552513531HE,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41303,2025-07-30 17:29:34.090
5345,G1711468932552WB,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41161,2025-07-30 17:29:34.523
5350,G1751552535390YX,wow-classic-item,dfced32f-2f0a-4df5-a218-1e068cfadffa,lgc_29076_platform:lgc_29076_platform_41303,2025-07-30 17:29:34.941
